Index,Country,Name,Latitude,Longitude,popThou
111,Japan,Tokyo,35.69,139.69,37832.89
102,India,Delhi,28.67,77.22,24953.31
138,Mexico,Ciudad de México (Mexico City),19.43,-99.14,20843.45
47,China,Beijing,39.91,116.40,19520.33
69,Egypt,Al-Qahirah (Cairo),30.04,31.24,18419.14
17,Bangladesh,Dhaka,23.71,90.41,16982.36
9,Argentina,Buenos Aires,-34.61,-58.40,15023.81
167,Philippines,Manila,14.60,120.98,12763.75
176,Russian Federation,Moskva (Moscow),55.75,37.62,12062.73
63,Democratic Republic of the Congo,Kinshasa,-4.33,15.31,11116.13
79,France,Paris,48.85,2.35,10764.43
227,United Kingdom,London,51.51,-0.13,10189.32
103,Indonesia,Jakarta,-6.21,106.84,10176.01
172,Republic of Korea,Seoul,37.57,126.98,9775.38
166,Peru,Lima,-12.04,-77.03,9722.07
50,Colombia,Bogotá,4.61,-74.08,9557.60
213,Thailand,Krung Thep (Bangkok),13.72,100.53,9097.87
104,Iran (Islamic Republic of),Tehran,35.69,51.42,8352.93
48,"China, Hong Kong SAR",Hong Kong,22.28,114.19,7259.57
129,Malaysia,Kuala Lumpur,3.14,101.69,6629.18
105,Iraq,Baghdad,33.34,44.40,6483.21
46,Chile,Santiago,-33.46,-70.65,6471.80
186,Saudi Arabia,Ar-Riyadh (Riyadh),24.69,46.71,6195.20
201,Spain,Madrid,40.42,-3.70,6132.67
191,Singapore,Singapore,1.29,103.85,5517.10
6,Angola,Luanda,-8.84,13.23,5288.27
205,Sudan,Al-Khartum (Khartoum),15.55,32.53,4999.79
229,United States of America,"Washington, D.C.",38.90,-77.04,4895.97
55,Côte d'Ivoire,Abidjan,5.35,-4.03,4707.56
220,Turkey,Ankara,39.92,32.85,4643.66
1,Afghanistan,Kabul,34.53,69.17,4436.26
30,Brazil,Brasília,-15.78,-47.93,4073.72
114,Kenya,Nairobi,-1.28,36.82,3767.65
109,Italy,Roma (Rome),41.89,12.48,3697.15
198,South Africa,Cape Town,-33.93,18.42,3623.56
85,Germany,Berlin,52.52,13.41,3547.29
235,Viet Nam,Hà Noi,21.02,105.84,3469.71
187,Senegal,Dakar,14.69,-17.44,3392.85
74,Ethiopia,Addis Ababa,9.02,38.75,3168.04
88,Greece,Athínai (Athens),37.95,23.75,3059.91
38,Cameroon,Yaoundé,3.87,11.52,2930.17
225,Ukraine,Kyiv (Kiev),50.45,30.52,2916.59
234,Venezuela (Bolivarian Republic of),Caracas,10.49,-66.88,2912.07
67,Dominican Republic,Santo Domingo,18.49,-69.90,2872.82
169,Portugal,Lisboa (Lisbon),38.72,-9.14,2868.86
62,Dem. People's Republic of Korea,P'yongyang,39.03,125.75,2856.05
93,Guatemala,Ciudad de Guatemala (Guatemala City),14.61,-90.53,2846.89
238,Yemen,Sana'a',15.35,44.21,2833.20
116,Kuwait,Al Kuwayt (Kuwait City),29.35,47.98,2680.32
210,Syrian Arab Republic,Dimashq (Damascus),33.51,36.31,2573.85
34,Burkina Faso,Ouagadougou,12.36,-1.54,2565.19
3,Algeria,El Djazaïr  (Algiers),36.75,3.04,2559.45
127,Madagascar,Antananarivo,-18.91,47.54,2486.59
170,Puerto Rico,San Juan,18.47,-66.11,2466.22
131,Mali,Bamako,12.65,-8.00,2386.06
97,Haiti,Port-au-Prince,18.54,-72.34,2375.91
14,Azerbaijan,Baku,40.38,49.89,2317.14
165,Paraguay,Asunción,-25.30,-57.64,2307.33
156,Nigeria,Abuja,9.06,7.49,2300.55
86,Ghana,Accra,5.56,-0.20,2241.69
232,Uzbekistan,Tashkent,41.26,69.22,2241.46
120,Lebanon,Bayrut (Beirut),33.90,35.48,2178.83
58,Cuba,La Habana (Havana),23.12,-82.38,2146.13
239,Zambia,Lusaka,-15.41,28.28,2078.43
20,Belgium,Bruxelles-Brussel,50.85,4.35,2028.66
196,Somalia,Muqdisho (Mogadishu),2.04,45.34,2013.93
199,South Africa,Pretoria,-25.74,28.19,1990.69
219,Tunisia,Tunis,36.82,10.17,1978.07
144,Morocco,Rabat,34.01,-6.83,1931.62
19,Belarus,Minsk,53.90,27.57,1905.25
94,Guinea,Conakry,9.57,-13.65,1885.99
175,Romania,Bucuresti (Bucharest),44.43,26.10,1871.52
224,Uganda,Kampala,0.32,32.58,1862.76
52,Congo,Brazzaville,-4.27,15.28,1826.89
26,Bolivia (Plurinational State of),La Paz,-16.50,-68.15,1800.31
13,Austria,Wien (Vienna),48.21,16.37,1743.28
168,Poland,Warszawa (Warsaw),52.23,21.01,1718.21
100,Hungary,Budapest,47.50,19.04,1717.32
68,Ecuador,Quito,-0.23,-78.52,1699.15
231,Uruguay,Montevideo,-34.83,-56.17,1697.73
37,Cambodia,Phnum Pénh (Phnom Penh),11.56,104.92,1684.31
163,Panama,Ciudad de Panamá (Panama City),9.00,-79.52,1637.87
240,Zimbabwe,Harare,-17.83,31.05,1494.66
208,Sweden,Stockholm,59.33,18.06,1463.75
141,Mongolia,Ulaanbaatar,47.91,106.88,1333.62
39,Canada,Ottawa-Gatineau,45.42,-75.70,1305.81
61,Czech Republic,Praha (Prague),50.09,14.42,1302.88
161,Pakistan,Islamabad,33.70,73.06,1296.96
64,Denmark,København (Copenhagen),55.68,12.57,1254.81
122,Liberia,Monrovia,6.30,-10.80,1223.88
177,Rwanda,Kigali,-1.95,30.06,1222.57
33,Bulgaria,Sofia,42.70,23.32,1221.93
43,Chad,N'Djaména,12.11,15.04,1212.08
188,Serbia,Beograd (Belgrade),44.82,20.46,1180.80
145,Mozambique,Maputo,-25.97,32.59,1173.99
78,Finland,Helsinki,60.17,24.94,1169.90
54,Costa Rica,San José,9.93,-84.08,1159.51
106,Ireland,Dublin,53.33,-6.25,1154.90
84,Georgia,Tbilisi,41.69,44.83,1149.58
112,Jordan,Amman,31.96,35.95,1147.70
149,Nepal,Kathmandu,27.70,85.32,1141.73
123,Libya,Tarabulus (Tripoli),32.88,13.19,1126.01
226,United Arab Emirates,Abu Zaby (Abu Dhabi),24.46,54.36,1113.90
99,Honduras,Tegucigalpa,14.08,-87.21,1100.59
70,El Salvador,San Salvador,13.69,-89.19,1096.53
150,Netherlands,Amsterdam,52.37,4.89,1083.57
155,Niger,Niamey,13.51,2.11,1057.56
10,Armenia,Yerevan,40.18,44.51,1048.64
146,Myanmar,Nay Pyi Taw,19.75,96.13,1015.70
190,Sierra Leone,Freetown,8.48,-13.23,985.90
159,Norway,Oslo,59.91,10.75,969.86
154,Nicaragua,Managua,12.13,-86.25,950.74
118,Lao People's Democratic Republic,Vientiane,17.97,102.60,945.72
135,Mauritania,Nouakchott,18.09,-15.98,944.80
215,Togo,Lomé,6.14,1.21,929.52
128,Malawi,Lilongwe,-13.97,33.79,867.47
117,Kyrgyzstan,Bishkek,42.87,74.59,857.71
108,Israel,Jerusalem,31.77,35.22,829.40
160,Oman,Masqat (Muscat),23.61,58.59,812.32
211,Tajikistan,Dushanbe,38.54,68.78,800.75
42,Central African Republic,Bangui,4.36,18.55,780.83
72,Eritrea,Asmara,15.33,38.93,774.56
113,Kazakhstan,Astana,51.18,71.45,740.96
221,Turkmenistan,Ashgabat,37.95,58.38,735.48
173,Republic of Moldova,Chi?in?u,47.01,28.86,720.68
35,Burundi,Bujumbura,-3.38,29.36,707.19
202,Sri Lanka,Colombo,6.93,79.85,704.23
171,Qatar,Ad-Dawhah (Doha),25.27,51.52,698.54
82,Gabon,Libreville,0.39,9.45,694.63
57,Croatia,Zagreb,45.81,15.98,687.01
22,Benin,Cotonou,6.37,2.42,680.29
151,Netherlands,s-Gravenhage (The Hague),52.08,4.30,646.41
119,Latvia,Riga,56.95,24.11,629.37
110,Jamaica,Kingston,18.00,-76.79,586.70
49,"China, Macao SAR",Macao,22.20,113.55,575.48
65,Djibouti,Djibouti,11.59,43.14,521.84
125,Lithuania,Vilnius,54.69,25.28,518.52
212,TFYR Macedonia,Skopje,42.00,21.43,501.30
197,South Africa,Bloemfontein,-29.12,26.21,496.00
